ID,Title,Release Date,Popularity,Poster URL,Backdrop URL,Overview,Genres,Actors,Trailers
1,"Dr. Jekyll and Mr. Hyde",1920-03-18,16.08,https://image.tmdb.org/t/p/w500/u8OL0RbTNzqqB1WmkxroTBXohnv.jpg,https://image.tmdb.org/t/p/w500/tQRHrssevbysfmDG9FbA86qesCH.jpg,"A doctor's research into the roots of evil turns him into a hideous depraved fiend.","Horror;Science Fiction;Drama","John Barrymore;Brandon Hurst;Martha Mansfield;Charles Lane;Cecil Clovelly",https://www.youtube.com/watch?v=P0DK1dl8eRc
2,"The Kid",1921-01-21,29.084,https://image.tmdb.org/t/p/w500/drgMcyTsySQBnUPGaBThCHGdlWT.jpg,https://image.tmdb.org/t/p/w500/mAhCW7QbpL5kwvCWGsfyY3ILoW6.jpg,"A tramp cares for a boy after he's abandoned as a newborn by his mother. Later the mother has a change of heart and aches to be reunited with her son.","Comedy;Drama","Charlie Chaplin;Jackie Coogan;Carl Miller;Edna Purviance;Albert Austin",https://www.youtube.com/watch?v=O5WXokyub-4
3,"Nanook of the North",1922-06-11,10.366,https://image.tmdb.org/t/p/w500/9WAboi1QbKu41WkyGxQVNpXwwxx.jpg,https://image.tmdb.org/t/p/w500/f8wJyERoBQgmptrue3xhMkC1Mjq.jpg,"This pioneering documentary film depicts the lives of the indigenous Inuit people of Canada's northern Quebec region. Although the production contains some fictional elements, it vividly shows how its resourceful subjects survive in such a harsh climate, revealing how they construct their igloo homes and find food by hunting and fishing. The film also captures the beautiful, if unforgiving, frozen landscape of the Great White North, far removed from conventional civilization.","Documentary;Drama","Allakariallak;Alice Nevalinga;Cunayou;Allegoo;Allee",https://www.youtube.com/watch?v=bkilXJiCfng
4,"Safety Last!",1923-04-01,15.58,https://image.tmdb.org/t/p/w500/qNpBbHlptWgFhtGny3KDf7ImkWR.jpg,https://image.tmdb.org/t/p/w500/xQV1wNUu0W5hPR8rEvQYobpedJK.jpg,"When a store clerk organizes a contest to climb the outside of a tall building, circumstances force him to make the perilous climb himself.","Comedy;Romance","Harold Lloyd;Mildred Davis;Bill Strother;Noah Young;Westcott Clarke",https://www.youtube.com/watch?v=rhNtSU8ubf0
5,"The Hunchback of Notre Dame",1923-09-06,11.448,https://image.tmdb.org/t/p/w500/3oheTQrTuqS1jPUW6GOc65ZbM5u.jpg,https://image.tmdb.org/t/p/w500/3Y5AcPiWQ3kzyIzdrbdV43dWrgX.jpg,"In 15th century France, a gypsy girl is framed for murder by the infatuated Chief Justice, and only the deformed bellringer of Notre Dame Cathedral can save her.","Romance;Drama;Horror","Lon Chaney;Patsy Ruth Miller;Norman Kerry;Kate Lester;Winifred Bryson",https://www.youtube.com/watch?v=HC37IKScnfs
6,"Our Hospitality",1923-11-19,13.124,https://image.tmdb.org/t/p/w500/cAEdL6RzfDSbPO51izl01Njzikx.jpg,https://image.tmdb.org/t/p/w500/4tbUsrndxsHcHsJE3jGNxVtlZj3.jpg,"A young man falls for a young woman on his trip home; unbeknownst to him, her family has vowed to kill every member of his family.","Comedy;Romance","Buster Keaton;Joe Roberts;Natalie Talmadge;Francis X. Bushman Jr.;Craig Ward",https://www.youtube.com/watch?v=1BWMJ06xDN0
7,"The Thief of Bagdad",1924-03-18,13.902,https://image.tmdb.org/t/p/w500/8t4CJ591N2FATf2yUiQNQk9p0tB.jpg,https://image.tmdb.org/t/p/w500/cuMvdjZVYKeCLBtWFc2FDiNAsUR.jpg,"A recalcitrant thief vies with a duplicitous Mongol ruler for the hand of a beautiful princess.","Romance;Adventure;Fantasy","Douglas Fairbanks;Snitz Edwards;Charles Belcher;Julanne Johnston;Sôjin Kamiyama",https://www.youtube.com/watch?v=msVH7dZkB8o
8,"Sherlock Jr.",1924-04-17,16.26,https://image.tmdb.org/t/p/w500/1G9r3rqtbFAQuyWKOZm4Y5J5s7Q.jpg,https://image.tmdb.org/t/p/w500/dRKCNvOjXkRTIA3D3KAve7GRu4k.jpg,"A film projectionist longs to be a detective, and puts his meagre skills to work when he is framed by a rival for stealing his girlfriend's father's pocketwatch.","Action;Comedy;Mystery","Buster Keaton;Kathryn McGuire;Joe Keaton;Erwin Connelly;Ward Crane",https://www.youtube.com/watch?v=JSEK1NUPrGA
9,"The Navigator",1924-09-28,11.239,https://image.tmdb.org/t/p/w500/eFIbnDnBnIi1qnz15UUiMFmjRmL.jpg,https://image.tmdb.org/t/p/w500/qqybzi8MPIJxg2bSXzkkg5pEIhe.jpg,"The wealthy and impulsive Rollo Treadway decides to propose to his beautiful socialite neighbor, Betsy O'Brien. Although Betsy turns Rollo down, he still opts to go on the cruise that he intended as their honeymoon. When circumstances find both Rollo and Betsy on the wrong ship, they end up having adventures on the high seas.","Comedy;Action;Adventure;Romance","Buster Keaton;Kathryn McGuire;Frederick Vroom;Clarence Burton;H.N. Clugston",https://www.youtube.com/watch?v=rsl-1g1IpJU
10,"The Gold Rush",1925-07-12,14.047,https://image.tmdb.org/t/p/w500/eQRFo1qwRREYwj47Yoe1PisgOle.jpg,https://image.tmdb.org/t/p/w500/hZHeDPQGNKN9NN9GuW7qVbM2tDx.jpg,"A gold prospector in Alaska struggles to survive the elements and win the heart of a dance hall girl.","Adventure;Comedy;Drama","Charlie Chaplin;Georgia Hale;Mack Swain;Tom Murray;Henry Bergman",https://www.youtube.com/watch?v=cSSZiPHkXio
